No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'11002042,8.8,8,6.8,8.25,8.75,7.25,0,0,0,25.8,23.85,24.8,24.8
'11002822,7.8,0,0,0,7.5,7,0,0,0,15.3,7.8,22.3,22.3
'11002022,8.4,6,5,7,7.75,6,0,0,0,23.15,20.4,22.15,22.15
'11002025,8.4,4.75,5,8,7.25,6.5,0,0,0,23.65,21.4,22.15,22.15
'11002009,8.2,7.25,6.4,7.5,7.25,6.25,0,0,0,22.95,22.1,21.7,21.7
'11002805,9,6.75,5,6.25,6,6.5,0,0,0,21.25,20.25,21.5,21.5
'11002359,7.8,6,3.6,6.25,6,7.5,0,0,0,20.05,17.65,21.3,21.3
'11002857,8.6,5.25,4,6,6.5,6,0,0,0,21.1,18.6,21.1,21.1
'11002316,7.8,6.42,6.4,7,5.75,7.5,0,0,0,20.55,21.2,21.05,21.05
'11002772,6.8,7.5,4.4,5.25,6.75,7.25,0,0,0,18.8,16.45,20.8,20.8
'11002377,7.4,8,6.2,8,7.5,5.75,0,0,0,22.9,21.6,20.65,20.65
'11002791,7.4,6,5.4,6,5.5,7.5,0,0,0,18.9,18.8,20.4,20.4
'11002754,7.8,7.25,6.8,5,6.5,6,0,0,0,19.3,19.6,20.3,20.3
'11002849,7.4,7.25,4.4,6.25,5.25,6.5,0,0,0,18.9,18.05,19.15,19.15
'11002803,7.4,4.75,4,7,6,5.75,0,0,0,20.4,18.4,19.15,19.15
'11002357,7,0,0,5.5,6.5,5.5,0,0,0,19,12.5,19,19
'11002121,7.6,4.75,3.8,5,6,5.25,0,0,0,18.6,16.4,18.85,18.85
'11002322,6.8,6.75,3.2,5.75,4.75,7.25,0,0,0,17.3,15.75,18.8,18.8
'11002850,6.6,5,4.4,8,5.25,6.5,0,0,0,19.85,19,18.35,18.35
'11002456,7.8,0,0,0,4.5,6,0,0,0,12.3,7.8,18.3,18.3
'11002818,7.2,0,0,0,4.25,6.5,0,0,0,11.45,7.2,17.95,17.95
'11002016,7.4,5,5,7.75,5,4.5,0,0,0,20.15,20.15,16.9,16.9
'11002104,7.6,0,0,6.75,7.5,0,0,0,0,21.85,14.35,15.1,15.1
'11002563,7.6,0,0,7.5,7.5,0,0,0,0,22.6,15.1,15.1,15.1
'11002814,8.4,0,0,7.5,5.25,0,0,0,0,21.15,15.9,13.65,13.65
'11002514,4.8,0,0,2,2.75,5.25,0,0,0,9.55,6.8,12.8,12.8
'11002836,4.4,0,0,0,1.75,4.5,0,0,0,6.15,4.4,10.65,10.65
'11002110,9.4,7.5,8.2,0,0,0,0,0,0,9.4,17.6,9.4,9.4
'11002045,8.8,8,8.8,0,0,0,6.5,8.25,9.25,8.8,17.6,8.8,8.8
'11002148,8.6,8,4,0,0,0,0,0,0,8.6,12.6,8.6,8.6
'11002247,8.6,7.25,3,0,0,0,4.5,7,8.75,8.6,11.6,8.6,8.6
'11002232,8.4,8,0,0,0,0,8.5,0,0,8.4,8.4,8.4,8.4
'11002582,8.4,7,6.2,0,0,0,6,8,8.5,8.4,14.6,8.4,8.4
'11002231,8.2,4.25,2.8,0,0,0,7,8.75,9.75,8.2,11,8.2,8.2
'11002087,8.2,7,5,0,0,0,5,7,8.25,8.2,13.2,8.2,8.2
'11002840,8.2,7.25,5.4,0,0,0,7.25,8.5,9.5,8.2,13.6,8.2,8.2
'11002411,8.2,7,3.8,0,0,0,7.5,7.75,9.5,8.2,12,8.2,8.2
'11002419,8.2,7.75,6.2,0,0,0,7.25,9.5,8.75,8.2,14.4,8.2,8.2
'11002164,8.2,6.75,4.8,0,0,0,8,8,9.75,8.2,13,8.2,8.2
'11002654,8,8.5,6,0,0,0,9.25,9.75,10,8,14,8,8
'11002026,8,7.75,4.4,0,0,0,5.25,7.25,9.5,8,12.4,8,8
'11002027,8,6.25,2.6,0,0,0,3.75,7.75,8.25,8,10.6,8,8
ï»¿'11002001,8,6,2.6,0,0,0,7,8,9.25,8,10.6,8,8
'11002434,8,6.5,4.4,0,0,0,7.5,7,9.25,8,12.4,8,8
'11002439,8,8.5,5.4,0,0,0,8.5,8.25,9.75,8,13.4,8,8
'11002018,8,6.75,3,0,0,0,5,6.25,8.75,8,11,8,8
'11002492,8,8.5,0,0,0,0,9.5,0,0,8,8,8,8
'11002046,8,6,3.4,0,0,0,7.25,7.25,9.75,8,11.4,8,8
'11002076,8,6,4,0,0,0,7.75,8.25,9.25,8,12,8,8
'11002569,8,5.25,4.8,0,0,0,7,8,8.75,8,12.8,8,8
'11002573,8,8.25,5.6,0,0,0,8.25,8.25,9.5,8,13.6,8,8
'11002187,8,7.25,4.2,0,0,0,7.75,8.75,9.25,8,12.2,8,8
'11002596,8,7.25,5.6,0,0,0,6,7.75,9,8,13.6,8,8
'11002052,7.8,7.25,3,0,0,0,5,7.5,8.5,7.8,10.8,7.8,7.8
'11002586,7.8,8.5,4.4,0,0,0,7.25,8.25,8.75,7.8,12.2,7.8,7.8
'11002526,7.8,7.75,5.4,0,0,0,8,7.5,9.75,7.8,13.2,7.8,7.8
'11002538,7.8,7.5,5.4,0,0,0,6.75,8,9.25,7.8,13.2,7.8,7.8
'11002832,7.8,8,5.4,0,0,0,8.25,8.5,8.5,7.8,13.2,7.8,7.8
'11002699,7.8,8,5.8,0,0,0,8.25,8,9,7.8,13.6,7.8,7.8
'11002559,7.8,8.25,0,0,0,0,9.25,0,0,7.8,7.8,7.8,7.8
'11002190,7.8,7.5,5.8,0,0,0,0,0,0,7.8,13.6,7.8,7.8
'11002385,7.8,6.5,5,0,0,0,6.5,8,9.25,7.8,12.8,7.8,7.8
'11002493,7.8,5.5,0,0,0,0,6.75,8,0,7.8,7.8,7.8,7.8
'11002370,7.6,6.5,4.8,0,0,0,6.75,7.75,9.75,7.6,12.4,7.6,7.6
'11002035,7.6,6,4,0,0,0,6.25,7.75,9.25,7.6,11.6,7.6,7.6
'11002103,7.6,7,5,0,0,0,7.5,9,8.75,7.6,12.6,7.6,7.6
'11002535,7.6,7.75,5.4,0,0,0,8.25,7.75,8.25,7.6,13,7.6,7.6
'11002797,7.6,5.5,5,0,0,0,5.5,7.25,8.75,7.6,12.6,7.6,7.6
'11002410,7.6,6.5,2.6,0,0,0,8,8.75,10,7.6,10.2,7.6,7.6
'11002008,7.6,7.75,5.4,0,0,0,6.25,8,9.25,7.6,13,7.6,7.6
'11002171,1.6,3.25,0,1.25,2.75,3.25,0,0,0,5.6,2.85,7.6,7.6
'11002081,7.6,5.75,3.2,0,0,0,4.25,7.25,8.25,7.6,10.8,7.6,7.6
'11002570,7.6,8.5,6,0,0,0,8,8,9.25,7.6,13.6,7.6,7.6
'11002829,7.6,7.25,6.4,0,0,0,8,6.5,9.25,7.6,14,7.6,7.6
'11002351,7.6,5.5,3.6,0,0,0,7.75,8.5,9.5,7.6,11.2,7.6,7.6
'11002111,7.6,6.5,3.4,0,0,0,7,7.25,9,7.6,11,7.6,7.6
'11002463,7.6,8.25,4.8,0,0,0,6.5,8,9.5,7.6,12.4,7.6,7.6
'11002472,7.6,8.5,3.6,0,0,0,8,8,8.5,7.6,11.2,7.6,7.6
'11002632,7.6,5.75,3.6,0,0,0,6.5,7.5,9,7.6,11.2,7.6,7.6
'11002221,7.6,8.5,3,0,0,0,9.25,8,9.25,7.6,10.6,7.6,7.6
'11002747,7.4,8,5.2,0,0,0,8,8.5,9.75,7.4,12.6,7.4,7.4
'11002360,7.4,6.5,3.6,0,0,0,3,8.25,9.25,7.4,11,7.4,7.4
'11002268,7.4,7,3.2,0,0,0,5.5,7.25,9,7.4,10.6,7.4,7.4
'11002783,7.4,6.5,5,0,0,0,5.5,8,8.75,7.4,12.4,7.4,7.4
'11002555,7.4,6.5,5,0,0,0,5.75,7,9,7.4,12.4,7.4,7.4
'11002116,7.4,5.75,5.4,0,0,0,6,8.5,8,7.4,12.8,7.4,7.4
'11002802,7.4,5.25,4.2,0,0,0,9,8.25,9,7.4,11.6,7.4,7.4
'11002471,7.4,8,4.2,0,0,0,9,7,9.25,7.4,11.6,7.4,7.4
'11002167,7.4,6.75,5.4,0,0,0,6,7.75,9,7.4,12.8,7.4,7.4
'11002169,7.4,8,5.4,0,0,0,6.25,8,9.25,7.4,12.8,7.4,7.4
'11002815,7.4,7.5,5.4,0,0,0,5.25,9.25,8.75,7.4,12.8,7.4,7.4
'11002353,7.4,6.25,5,0,0,0,6.25,7.25,9.25,7.4,12.4,7.4,7.4
'11002579,7.4,7.25,2.6,0,0,0,7.75,7.75,7,7.4,10,7.4,7.4
'11002496,7.4,7.75,4.8,0,0,0,7,6.5,8.75,7.4,12.2,7.4,7.4
'11002235,7.4,6.75,4.6,0,0,0,5,7,8.25,7.4,12,7.4,7.4
'11002519,7.4,7,4,0,0,0,5.25,7.25,8.5,7.4,11.4,7.4,7.4
'11002522,7.4,7.75,5.2,0,0,0,6.5,7.75,9.25,7.4,12.6,7.4,7.4
'11002841,7.4,6.5,4.4,0,0,0,0,0,0,7.4,11.8,7.4,7.4
'11002212,7.4,7,6.4,0,0,0,7.75,8.5,9.75,7.4,13.8,7.4,7.4
'11002531,7.4,6.25,4.8,0,0,0,3.75,6.25,8.25,7.4,12.2,7.4,7.4
'11002854,7.4,6.25,5.8,0,0,0,4.25,7.75,8.75,7.4,13.2,7.4,7.4
'11002742,7.4,7.5,4.8,0,0,0,6.75,7,9.5,7.4,12.2,7.4,7.4
'11002762,7.2,7.25,4.6,0,0,0,8.25,7.5,10,7.2,11.8,7.2,7.2
'11002767,7.2,5,3.2,0,0,0,5.5,8,8.5,7.2,10.4,7.2,7.2
'11002427,7.2,8.25,5.4,0,0,0,8.75,8,9.25,7.2,12.6,7.2,7.2
'11002342,7.2,4.5,2.4,0,0,0,5.5,6.75,9.5,7.2,9.6,7.2,7.2
'11002002,7.2,4,1.8,0,0,0,1.75,7,9.75,7.2,9,7.2,7.2
'11002556,7.2,4,0,0,0,0,3.75,5.25,0,7.2,7.2,7.2,7.2
'11002447,7.2,7.5,2.4,0,0,0,8,8,9.25,7.2,9.6,7.2,7.2
'11002014,7.2,7.5,6.4,0,0,0,5,6.25,8,7.2,13.6,7.2,7.2
'11002355,7.2,7.25,5.4,0,0,0,7,8.25,9.75,7.2,12.6,7.2,7.2
'11002036,7.2,8,3.6,0,0,0,5,7.5,9,7.2,10.8,7.2,7.2
'11002053,7.2,8,3.6,0,0,0,3.25,7.5,9.25,7.2,10.8,7.2,7.2
'11002574,7.2,7,3.2,0,0,0,7.25,7.25,9.5,7.2,10.4,7.2,7.2
'11002485,7.2,5.5,4.6,0,0,0,5.25,7.25,9.25,7.2,11.8,7.2,7.2
'11002239,7.2,5.5,3.2,0,0,0,7,8.25,9.25,7.2,10.4,7.2,7.2
'11002054,7.2,5.5,2.6,0,0,0,4.75,6.5,8,7.2,9.8,7.2,7.2
'11002494,7.2,6.5,3.4,0,0,0,6.5,7.25,9,7.2,10.6,7.2,7.2
'11002839,7.2,5.5,3,0,0,0,5.25,7,8.75,7.2,10.2,7.2,7.2
'11002037,7.2,8,4.2,0,0,0,5,6.25,8.25,7.2,11.4,7.2,7.2
'11002277,7.2,6.25,3.6,0,0,0,6.75,8.5,8.25,7.2,10.8,7.2,7.2
'11002391,7.2,6.75,4.4,0,0,0,5.5,8.25,8.5,7.2,11.6,7.2,7.2
'11002020,7.2,6.25,3.2,0,0,0,4.25,7.5,8.5,7.2,10.4,7.2,7.2
'11002145,7.2,8.5,3,0,0,0,8.5,8,8.75,7.2,10.2,7.2,7.2
'11002341,7.2,7.5,5,0,0,0,8.25,8.75,9.25,7.2,12.2,7.2,7.2
'11002787,7,6,5.2,0,0,0,5.75,7.5,9.25,7,12.2,7,7
'11002051,7,6.75,5,0,0,0,4.25,7.25,8.25,7,12,7,7
'11002429,7,5,4,0,0,0,6.5,6.5,8.25,7,11,7,7
'11002236,7,7,5,0,0,0,5.25,8,9.25,7,12,7,7
'11002180,7,6.25,2,0,0,0,3.75,8,8.5,7,9,7,7
'11002146,7,5,2.8,0,0,0,6.75,7.5,9,7,9.8,7,7
'11002100,7,7.5,3.6,0,0,0,4.5,7.25,8,7,10.6,7,7
'11002023,7,7,4.4,0,0,0,7.25,8.5,9.25,7,11.4,7,7
'11002546,7,7,3.2,0,0,0,5.25,7.25,7.75,7,10.2,7,7
'11002735,7,6.25,3.8,0,0,0,9,6.75,9.25,7,10.8,7,7
'11002739,7,6.75,2.8,0,0,0,8.5,5.75,9.25,7,9.8,7,7
'11002308,7,6.75,4.6,0,0,0,4.75,7.25,8.25,7,11.6,7,7
'11002310,7,8,8.4,0,0,0,5.5,7.75,8.5,7,15.4,7,7
'11002011,7,6.25,3,0,0,0,7.25,7.5,9.25,7,10,7,7
'11002227,7,6.5,2.6,0,0,0,5.75,7.25,8.75,7,9.6,7,7
'11002142,7,6.25,4,0,0,0,4.75,8,8.5,7,11,7,7
'11002770,7,6.25,4.8,0,0,0,7.75,8.25,8.75,7,11.8,7,7
'11002170,7,5.75,4.8,0,0,0,5.75,8.25,9.25,7,11.8,7,7
'11002343,7,3.5,2.4,0,0,0,5,7.75,8.25,7,9.4,7,7
'11002784,7,6.5,4.6,0,0,0,8.25,7.25,9.5,7,11.6,7,7
'11002089,6.8,7.25,4.8,0,0,0,5.5,7.75,8.25,6.8,11.6,6.8,6.8
'11002290,6.8,6,3.8,0,0,0,5.75,8,8.25,6.8,10.6,6.8,6.8
'11002402,6.8,6,3.2,0,0,0,7.25,7.25,9,6.8,10,6.8,6.8
'11002233,6.8,7.25,4.8,0,0,0,4.5,8.25,7.75,6.8,11.6,6.8,6.8
'11002191,6.8,5.5,3.8,0,0,0,5.25,8,7.5,6.8,10.6,6.8,6.8
'11002356,6.8,6.5,3.2,0,0,0,4.5,7.75,9,6.8,10,6.8,6.8
'11002421,6.8,6.25,2.6,0,0,0,5.25,7.5,8,6.8,9.4,6.8,6.8
'11002423,6.8,8,1.8,0,0,0,7.5,7.5,8.75,6.8,8.6,6.8,6.8
'11002621,6.8,6.75,5.6,0,0,0,6.5,8.5,10,6.8,12.4,6.8,6.8
'11002425,6.8,8,4,0,0,0,8.75,9.5,9.5,6.8,10.8,6.8,6.8
'11002645,6.8,6.25,4.2,0,0,0,7.5,9.5,9.25,6.8,11,6.8,6.8
'11002312,6.8,5.5,4,0,0,0,7.5,8,9.25,6.8,10.8,6.8,6.8
'11002826,6.8,6.75,4.8,0,0,0,6.75,8.25,9.5,6.8,11.6,6.8,6.8
'11002097,6.8,7.75,2.2,0,0,0,7,8.5,10,6.8,9,6.8,6.8
'11002028,6.8,5.5,4,0,0,0,2.5,6.25,6.75,6.8,10.8,6.8,6.8
'11002367,6.8,7.5,3.2,0,0,0,3,7.25,8.25,6.8,10,6.8,6.8
'11002033,6.8,6.5,0,0,0,0,7.75,8,0,6.8,6.8,6.8,6.8
'11002539,6.8,7.5,5.8,0,0,0,8,8,9,6.8,12.6,6.8,6.8
'11002448,6.8,7.25,4.6,0,0,0,5,7.25,9,6.8,11.4,6.8,6.8
'11002454,6.8,4,0,0,0,0,4.25,6.5,0,6.8,6.8,6.8,6.8
'11002372,6.8,5.75,4,0,0,0,5,7.25,9,6.8,10.8,6.8,6.8
'11002462,6.8,6.5,5.4,0,0,0,8.5,8,8.5,6.8,12.2,6.8,6.8
'11002062,6.8,5.25,4.2,0,0,0,6.5,8.25,9.25,6.8,11,6.8,6.8
'11002858,6.8,6.5,5.4,0,0,0,5.25,7.75,9.5,6.8,12.2,6.8,6.8
'11002007,6.6,7,6,0,0,0,6,6.75,8.5,6.6,12.6,6.6,6.6
'11002486,6.6,7.25,4.2,0,0,0,8,8,9,6.6,10.8,6.6,6.6
'11002352,6.6,6.5,5.8,0,0,0,5.25,8.25,9,6.6,12.4,6.6,6.6
'11002789,6.6,6.75,4.6,0,0,0,7,7.5,9.25,6.6,11.2,6.6,6.6
'11002229,6.6,5.25,3.6,0,0,0,5,8,8.75,6.6,10.2,6.6,6.6
'11002114,6.6,6,4.4,0,0,0,6.25,8.25,8.75,6.6,11,6.6,6.6
'11002307,6.6,7,4,0,0,0,4.25,7.75,8.5,6.6,10.6,6.6,6.6
'11002584,6.6,6.75,4.8,0,0,0,5.75,6.75,9.5,6.6,11.4,6.6,6.6
'11002502,6.6,6.5,4.2,0,0,0,9,8,9,6.6,10.8,6.6,6.6
'11002021,6.6,7.5,5.8,0,0,0,5.25,8,9.5,6.6,12.4,6.6,6.6
'11002597,6.6,8,5.6,0,0,0,8,7.25,8.25,6.6,12.2,6.6,6.6
'11002816,6.6,5.5,3,0,0,0,5,6.75,9,6.6,9.6,6.6,6.6
'11002309,6.6,6.75,3.6,0,0,0,5.5,7,8.5,6.6,10.2,6.6,6.6
'11002075,6.6,5.75,3.8,0,0,0,5.75,8.75,9.25,6.6,10.4,6.6,6.6
'11002523,6.6,7,0,0,0,0,5.75,7,0,6.6,6.6,6.6,6.6
'11002122,6.6,8,3.8,0,0,0,6.25,6.25,8.25,6.6,10.4,6.6,6.6
'11002123,6.6,6,2.8,0,0,0,6.5,7.5,10,6.6,9.4,6.6,6.6
'11002218,6.6,4.75,3.8,0,0,0,6.75,7.5,9,6.6,10.4,6.6,6.6
'11002838,6.6,5.25,4.6,0,0,0,5.25,5.75,8,6.6,11.2,6.6,6.6
'11002324,6.6,5.5,3.2,0,0,0,6.5,7,9.5,6.6,9.8,6.6,6.6
'11002330,6.6,6,4.6,0,0,0,4.5,7.75,8.75,6.6,11.2,6.6,6.6
'11002040,6.6,5.75,3.8,0,0,0,3.5,6.75,8,6.6,10.4,6.6,6.6
'11002547,6.6,5.75,4.4,0,0,0,6.25,8.5,9.25,6.6,11,6.6,6.6
'11002396,6.6,7,4.6,0,0,0,8,8.5,9,6.6,11.2,6.6,6.6
'11002249,6.6,7.42,2.4,0,0,0,6.5,7.5,9,6.6,9,6.6,6.6
'11002257,6.6,6.75,2.6,0,0,0,5.25,7.5,8.5,6.6,9.2,6.6,6.6
'11002482,6.6,5.75,5.8,0,0,0,7.25,7.75,9,6.6,12.4,6.6,6.6
'11002869,6.6,5.75,4.2,0,0,0,8.5,8.5,8.75,6.6,10.8,6.6,6.6
'11002792,6.4,6,3.6,0,0,0,6.5,7,9.25,6.4,10,6.4,6.4
'11002796,6.4,8,6.2,0,0,0,8.25,8.75,9.5,6.4,12.6,6.4,6.4
'11002464,6.4,6.25,3.6,0,0,0,5,6.5,8.5,6.4,10,6.4,6.4
'11002798,6.4,5.75,5,0,0,0,8.25,7.75,9.75,6.4,11.4,6.4,6.4
'11002630,6.4,5.25,3,0,0,0,5,6.5,9,6.4,9.4,6.4,6.4
'11002549,6.4,7.25,4,0,0,0,5.25,8.75,9,6.4,10.4,6.4,6.4
'11002635,6.4,6.5,3.6,0,0,0,6.25,7.25,9.25,6.4,10,6.4,6.4
'11002806,6.4,4.5,3.4,0,0,0,5,7.25,8,6.4,9.8,6.4,6.4
'11002507,6.4,4.75,3.6,0,0,0,6,7,7.25,6.4,10,6.4,6.4
'11002019,6.4,7.5,3.8,0,0,0,6,7.5,9.5,6.4,10.2,6.4,6.4
'11002688,6.4,6.25,3.4,0,0,0,6.25,7.5,9.5,6.4,9.8,6.4,6.4
'11002518,6.4,3,0,0,0,0,4.25,7.25,0,6.4,6.4,6.4,6.4
'11002561,6.4,7,4.8,0,0,0,5.25,7.25,9.25,6.4,11.2,6.4,6.4
'11002004,6.4,6.5,4,0,0,0,5,7.5,8.5,6.4,10.4,6.4,6.4
